TIPO_AGENTE,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,ANO,PAIS,CANTIDAD_REGISTROS
EDITORIAL COMERCIAL,ALEMÁN,"BANTIM, CANATO E GUAZZELLI EDITORA LTDA",SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BARAJAS MARTINEZ LILIA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,BCD UNIAO DE EDITORAS S/A,800 - LITERATURA Y RETÓRICA: GENERAL,2014,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BCD UNIAO DE EDITORAS S/A,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2014,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BERLENDIS & VERTECCHIA EDITORES LTDA,800 - LITERATURA Y RETÓRICA: GENERAL,2015,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BERLENDIS & VERTECCHIA EDITORES LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BERLENDIS & VERTECCHIA EDITORES LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2019,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BERLENDIS E VERTECCHIA,800 - LITERATURA Y RETÓRICA: GENERAL,2021,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BICO DE LLACRE EDITORA DE LIVROS LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BICO DE LLACRE EDITORA DE LIVROS LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2018,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BID & CO. EDITOR,800 - LITERATURA Y RETÓRICA: GENERAL,2010,VENEZUELA,1.0
EDITORIAL COMERCIAL,ALEMÁN,BOA VIAGEM DISTRIBUIDORA DE LIVROS LTDA,SIN DATO,2010,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,BOA VIAGEM DISTRIBUIDORA DE LIVROS LTDA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BONOBOS EDITORES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2015,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,800 - LITERATURA Y RETÓRICA: GENERAL,2019,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2016,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2015,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2017,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2014,BRASIL,4.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2016,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,SIN DATO,2010,BRASIL,5.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,BRINQUE-BOOK EDITORA DE LIVROS LTDA,SIN DATO,2012,BRASIL,6.0
EDITORIAL COMERCIAL,ALEMÁN,BRUNNA PINHEIRO CARDOSO 37823136821,800 - LITERATURA Y RETÓRICA: GENERAL,2019,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CALLIS EDITORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2013,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,CALLIS EDITORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2015,BRASIL,4.0
