TIPO_AGENTE,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,ANO,PAIS,CANTIDAD_REGISTROS
EDITORIAL COMERCIAL,ESPAÑOL,VERUS EDITORA LTDA - ME,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2013,BRASIL,4.0
EDITORIAL COMERCIAL,ESPAÑOL,VERUS EDITORA LTDA - ME,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2014,BRASIL,3.0
EDITORIAL COMERCIAL,ESPAÑOL,VERUS EDITORA LTDA - ME,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,VIDA MELHOR EDITORA,SIN DATO,2012,BRASIL,3.0
EDITORIAL COMERCIAL,ESPAÑOL,VILLA RICA EDITORAS REUNIDAS LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2019,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,"VILLAFANA CASTILLO, JULIO CESAR",800 - LITERATURA Y RETÓRICA: GENERAL,2020,REPÚBLICA DOMINICANA,4.0
EDITORIAL COMERCIAL,ESPAÑOL,"VILLAFANA CASTILLO, JULIO CESAR",800 - LITERATURA Y RETÓRICA: GENERAL,2023,REPÚBLICA DOMINICANA,9.0
EDITORIAL COMERCIAL,ESPAÑOL,"VINAS PAULINO, JAIME",800 - LITERATURA Y RETÓRICA: GENERAL,2017,REPÚBLICA DOMINICANA,2.0
EDITORIAL COMERCIAL,ESPAÑOL,"VINAS PAULINO, JAIME",860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2017,REPÚBLICA DOMINICANA,10.0
EDITORIAL COMERCIAL,ESPAÑOL,VIRTUALBOOKS EDITORA E LIVRARIA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2013,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,VIVEIROS DE CASTRO EDITORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2019,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,VIVEIROS DE CASTRO EDITORA LTDA,870 - LITERATURAS LATINAS E ITALIANAS,2014,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,VIVEIROS DE CASTRO EDITORA LTDA,870 - LITERATURAS LATINAS E ITALIANAS,2015,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,VIVEIROS DE CASTRO EDITORA LTDA,SIN DATO,2010,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,VIVEIROS DE CASTRO EDITORA LTDA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,VIVEIROS DE CASTRO EDITORA LTDA,SIN DATO,2012,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,VLM EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,2024,PARAGUAY,1.0
EDITORIAL COMERCIAL,ESPAÑOL,WILSON GOMES DE OLIVEIRA JUNIOR 27268463863,870 - LITERATURAS LATINAS E ITALIANAS,2018,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,WILSON GOMES DE OLIVEIRA JUNIOR 27268463863,890 - LITERATURAS DE OTRAS LENGUAS,2016,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,WILSON GOMES DE OLIVEIRA JUNIOR 27268463863,890 - LITERATURAS DE OTRAS LENGUAS,2017,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,WILSON GOMES DE OLIVEIRA JUNIOR 27268463863,890 - LITERATURAS DE OTRAS LENGUAS,2019,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,XALAMBO S.A.S.,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2021,COLOMBIA,4.0
EDITORIAL COMERCIAL,ESPAÑOL,YAXKIN MELCHY RAMOS,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2023,MÉXICO,1.0
EDITORIAL COMERCIAL,ESPAÑOL,YAXKIN MELCHY RAMOS,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2024,MÉXICO,1.0
EDITORIAL COMERCIAL,ESPAÑOL,YO SI LEO EDITORES,800 - LITERATURA Y RETÓRICA: GENERAL,2013,MÉXICO,1.0
EDITORIAL COMERCIAL,ESPAÑOL,ZAGODONI EDITORA LTDA.,SIN DATO,2011,BRASIL,2.0
EDITORIAL COMERCIAL,ESPAÑOL,ZAGODONI EDITORA LTDA.,SIN DATO,2012,BRASIL,2.0
EDITORIAL COMERCIAL,ESPAÑOL,ZOUK EDITORA E DISTRIBUIDORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2017,BRASIL,1.0
EDITORIAL COMERCIAL,ESPAÑOL,ZOUK EDITORA E DISTRIBUIDORA LTDA,SIN DATO,2010,BRASIL,1.0
EDITORIAL COMERCIAL,ESPERANTO,7 LETRAS,890 - LITERATURAS DE OTRAS LENGUAS,2024,BRASIL,1.0
EDITORIAL COMERCIAL,ESPERANTO,EDITORA LOBO AZUL,800 - LITERATURA Y RETÓRICA: GENERAL,2021,BRASIL,1.0
EDITORIAL COMERCIAL,ESTONIO,EDICIONES EL NARANJO,800 - LITERATURA Y RETÓRICA: GENERAL,2018,MÉXICO,1.0
EDITORIAL COMERCIAL,ESTONIO,LRV EDICOES LTDA-ME,890 - LITERATURAS DE OTRAS LENGUAS,2013,BRASIL,1.0
EDITORIAL COMERCIAL,EUS,PENGUIN RANDOM HOUSE,800 - LITERATURA Y RETÓRICA: GENERAL,2016,ARGENTINA,1.0
EDITORIAL COMERCIAL,EUSKERA,LOM EDICIONES,890 - LITERATURAS DE OTRAS LENGUAS,2022,CHILE,1.0
EDITORIAL COMERCIAL,FINLANDÉS,ATELIE EDITORIAL LTDA-ME,890 - LITERATURAS DE OTRAS LENGUAS,2015,BRASIL,1.0
EDITORIAL COMERCIAL,FINLANDÉS,AUTENTICA EDITORA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2014,BRASIL,3.0
EDITORIAL COMERCIAL,FINLANDÉS,CALLIS EDITORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2015,BRASIL,2.0
EDITORIAL COMERCIAL,FINLANDÉS,CEIBO EDICIONES LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2015,CHILE,1.0
EDITORIAL COMERCIAL,FINLANDÉS,CEREJA EDITORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2016,BRASIL,4.0
EDITORIAL COMERCIAL,FINLANDÉS,DEL NUEVO EXTREMO,800 - LITERATURA Y RETÓRICA: GENERAL,2016,ARGENTINA,2.0
EDITORIAL COMERCIAL,FINLANDÉS,DEL NUEVO EXTREMO,800 - LITERATURA Y RETÓRICA: GENERAL,2017,ARGENTINA,1.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORA GLOBO S/A,890 - LITERATURAS DE OTRAS LENGUAS,2019,BRASIL,1.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORA MECA LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2013,BRASIL,4.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORA MORRO BRANCO,890 - LITERATURAS DE OTRAS LENGUAS,2021,BRASIL,2.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORA MORRO BRANCO LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2018,BRASIL,2.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORA MORRO BRANCO LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2019,BRASIL,2.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORA ORIGINAL LTDA-EPP,890 - LITERATURAS DE OTRAS LENGUAS,2013,BRASIL,1.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORA TECMEDD LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2014,BRASIL,3.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORES MEXICANOS UNIDOS,800 - LITERATURA Y RETÓRICA: GENERAL,2017,MÉXICO,2.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORES MEXICANOS UNIDOS,800 - LITERATURA Y RETÓRICA: GENERAL,2023,MÉXICO,1.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORIAL ALMADIA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2011,MÉXICO,1.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORIAL OCEANO,800 - LITERATURA Y RETÓRICA: GENERAL,2023,MÉXICO,2.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORIAL PORRUA,890 - LITERATURAS DE OTRAS LENGUAS,2021,MÉXICO,1.0
EDITORIAL COMERCIAL,FINLANDÉS,EDITORIAL TIEMPO DE LEER SAS,800 - LITERATURA Y RETÓRICA: GENERAL,2018,COLOMBIA,1.0
EDITORIAL COMERCIAL,FINLANDÉS,GRUPO EDITORIAL RECORD,810 - LITERATURA AMERICANA EN INGLÉS,2018,BRASIL,1.0
EDITORIAL COMERCIAL,FINLANDÉS,GRUPO PLANETA,800 - LITERATURA Y RETÓRICA: GENERAL,2023,MÉXICO,2.0
EDITORIAL COMERCIAL,FINLANDÉS,INTERMEDIO EDITORES S.A.S,890 - LITERATURAS DE OTRAS LENGUAS,2020,COLOMBIA,2.0
EDITORIAL COMERCIAL,FINLANDÉS,LATINBOOKS INTERNATIONAL,800 - LITERATURA Y RETÓRICA: GENERAL,2016,URUGUAY,1.0
EDITORIAL COMERCIAL,FINLANDÉS,PANAMERICANA LIBRERIA Y PAPELERIA,800 - LITERATURA Y RETÓRICA: GENERAL,2020,COLOMBIA,1.0
EDITORIAL COMERCIAL,FINLANDÉS,PENGUIN RANDOM HOUSE,800 - LITERATURA Y RETÓRICA: GENERAL,2020,COLOMBIA,1.0
EDITORIAL COMERCIAL,FINLANDÉS,PENGUIN RANDOM HOUSE,800 - LITERATURA Y RETÓRICA: GENERAL,2021,COLOMBIA,1.0
EDITORIAL COMERCIAL,FINLANDÉS,PENGUIN RANDOM HOUSE,800 - LITERATURA Y RETÓRICA: GENERAL,2023,COLOMBIA,1.0
EDITORIAL COMERCIAL,FINLANDÉS,PENGUIN RANDOM HOUSE,800 - LITERATURA Y RETÓRICA: GENERAL,2024,COLOMBIA,1.0
EDITORIAL COMERCIAL,FINLANDÉS,PROTON EDITORA E TECNOLOGIA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2018,BRASIL,1.0
EDITORIAL COMERCIAL,FINLANDÉS,SDS EDITORA DE LIVROS EIRELI,890 - LITERATURAS DE OTRAS LENGUAS,2014,BRASIL,2.0
EDITORIAL COMERCIAL,FINLANDÉS,SILABA EDITORES SAS,890 - LITERATURAS DE OTRAS LENGUAS,2020,COLOMBIA,1.0
EDITORIAL COMERCIAL,FINLANDÉS,"TOMA, EDICIONES Y PRODUCCIONES ESCENICAS Y CINEMATOGRAFICAS",830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2011,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,24X7 CULTURAL LTDA.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2015,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ABRIL EDUCACAO S. A.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2013,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ABRIL EN LOS ARBOLES E.I.R.L.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2019,PERÚ,1.0
EDITORIAL COMERCIAL,FRANCÉS,ACAO SOCIAL CLARETIANA,SIN DATO,2012,BRASIL,6.0
EDITORIAL COMERCIAL,FRANCÉS,ADRIANA HIDALGO EDITORA,800 - LITERATURA Y RETÓRICA: GENERAL,2016,ARGENTINA,3.0
EDITORIAL COMERCIAL,FRANCÉS,ADRIANA HIDALGO EDITORA,800 - LITERATURA Y RETÓRICA: GENERAL,2017,ARGENTINA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ADRIANA HIDALGO EDITORA S.A.,800 - LITERATURA Y RETÓRICA: GENERAL,2019,ARGENTINA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ADRIANA HIDALGO EDITORA S.A.,800 - LITERATURA Y RETÓRICA: GENERAL,2020,ARGENTINA,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGALMA PSICANALISE EDITORA LTDA,SIN DATO,2010,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGALMA PSICANALISE EDITORA LTDA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGALMATA EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,2019,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGALMATA EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2016,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGALMATA EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2018,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGALMATA EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2020,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGEBE,800 - LITERATURA Y RETÓRICA: GENERAL,2016,ARGENTINA,1.0
EDITORIAL COMERCIAL,FRANCÉS,"AGENCIA DE SERVICIOS EDITORIALES, DISENO Y PUBLICIDAD OXIMORON SPA",860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2018,CHILE,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGENCIA PROMOTORA DE PUBLICACIONES,800 - LITERATURA Y RETÓRICA: GENERAL,2021,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGENCIA PROMOTORA DE PUBLICACIONES,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2017,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGENCIA PROMOTORA DE PUBLICACIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2021,MÉXICO,8.0
EDITORIAL COMERCIAL,FRANCÉS,AGENCIA PROMOTORA DE PUBLICACIONES,890 - LITERATURAS DE OTRAS LENGUAS,2021,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AGORA MEDIOS,800 - LITERATURA Y RETÓRICA: GENERAL,2018,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,AGORA MEDIOS,800 - LITERATURA Y RETÓRICA: GENERAL,2022,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AJNA EDITORA,840 - LITERATURA DE LAS LENGUAS ROMANCES,2021,BRASIL,2.0
EDITORIAL COMERCIAL,FRANCÉS,ALASTOR S.A.C.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2020,PERÚ,2.0
EDITORIAL COMERCIAL,FRANCÉS,ALASTOR S.A.C.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2022,PERÚ,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALASTOR S.A.C.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2024,PERÚ,2.0
EDITORIAL COMERCIAL,FRANCÉS,ALAUDE EDITORIAL LTDA,840 - LITERATURA DE LAS LENGUAS ROMANCES,2014,BRASIL,2.0
EDITORIAL COMERCIAL,FRANCÉS,ALAUDE EDITORIAL LTDA,840 - LITERATURA DE LAS LENGUAS ROMANCES,2015,BRASIL,2.0
EDITORIAL COMERCIAL,FRANCÉS,ALAUDE EDITORIAL LTDA,840 - LITERATURA DE LAS LENGUAS ROMANCES,2017,BRASIL,2.0
EDITORIAL COMERCIAL,FRANCÉS,"ALBOREZ GARCIA,RICARDO",840 - LITERATURA DE LAS LENGUAS ROMANCES,2016,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,"ALBOREZ GARCIA,RICARDO",840 - LITERATURA DE LAS LENGUAS ROMANCES,2018,MÉXICO,3.0
EDITORIAL COMERCIAL,FRANCÉS,"ALBOREZ GARCIA,RICARDO",840 - LITERATURA DE LAS LENGUAS ROMANCES,2019,MÉXICO,3.0
EDITORIAL COMERCIAL,FRANCÉS,"ALBOREZ GARCIA,RICARDO",840 - LITERATURA DE LAS LENGUAS ROMANCES,2023,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,ALBOROTO EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,2019,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALCION EDITORA,800 - LITERATURA Y RETÓRICA: GENERAL,2017,ARGENTINA,3.0
EDITORIAL COMERCIAL,FRANCÉS,ALETEA,800 - LITERATURA Y RETÓRICA: GENERAL,2017,URUGUAY,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALETHEYA E.I.R.L.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2017,PERÚ,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALI CELESTINO COMUNICACAO E MARKETING LTDA,840 - LITERATURA DE LAS LENGUAS ROMANCES,2013,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALI CELESTINO COMUNICACAO E MARKETING LTDA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,"ALIAGA, CRISTIAN ALBERTO",800 - LITERATURA Y RETÓRICA: GENERAL,2019,ARGENTINA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2013,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2016,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2017,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2019,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2020,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2021,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2022,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALL BOOKS LIVRARIA E EDITORA-EPP,800 - LITERATURA Y RETÓRICA: GENERAL,2013,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALL IN ENGLISH TREINAMENTO EM INGLES LTDA - ME,840 - LITERATURA DE LAS LENGUAS ROMANCES,2017,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALLES TRADE EDITORA E COMERCIO EXTERIOR LTDA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ALMADENA EDITORA PRODUCOES ARTISTICAS E CULTURAIS,890 - LITERATURAS DE OTRAS LENGUAS,2024,BRASIL,2.0
EDITORIAL COMERCIAL,FRANCÉS,ALQUIMIA EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,2022,CHILE,2.0
EDITORIAL COMERCIAL,FRANCÉS,ALVAREZ CASTILLO EDITOR,800 - LITERATURA Y RETÓRICA: GENERAL,2016,ARGENTINA,1.0
EDITORIAL COMERCIAL,FRANCÉS,AMARILIS MACEDO LIMA LOPES DE ANCHIETA 99526646134,890 - LITERATURAS DE OTRAS LENGUAS,2019,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,AMBOS EDITORES E.I.R.L.,800 - LITERATURA Y RETÓRICA: GENERAL,2012,CHILE,1.0
EDITORIAL COMERCIAL,FRANCÉS,AMBOS EDITORES E.I.R.L.,800 - LITERATURA Y RETÓRICA: GENERAL,2016,CHILE,2.0
EDITORIAL COMERCIAL,FRANCÉS,ANAMA EDICIONES CENTROAMERICANAS,800 - LITERATURA Y RETÓRICA: GENERAL,2010,NICARAGUA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ANGOSTA EDITORES,800 - LITERATURA Y RETÓRICA: GENERAL,2017,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,ANTIGA E MISTICA ORDEM ROSAE CRUCIS - AMORC GRANDE,890 - LITERATURAS DE OTRAS LENGUAS,2013,BRASIL,3.0
EDITORIAL COMERCIAL,FRANCÉS,ANTIGA E MISTICA ORDEM ROSAE CRUCIS - AMORC GRANDE,890 - LITERATURAS DE OTRAS LENGUAS,2015,BRASIL,6.0
EDITORIAL COMERCIAL,FRANCÉS,ANTIGA E MISTICA ORDEM ROSAE CRUCIS - AMORC GRANDE,890 - LITERATURAS DE OTRAS LENGUAS,2016,BRASIL,4.0
EDITORIAL COMERCIAL,FRANCÉS,ANTIGA E MISTICA ORDEM ROSAE CRUCIS - AMORC GRANDE,SIN DATO,2010,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,AQUELARRE EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2019,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AQUELARRE EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2020,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AQUELARRE EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2023,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARCANGEL SAN MIGUEL S.A.C.,800 - LITERATURA Y RETÓRICA: GENERAL,2015,PERÚ,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARCANGEL SAN MIGUEL S.A.C.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2010,PERÚ,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARCANGEL SAN MIGUEL S.A.C.,840 - LITERATURA DE LAS LENGUAS ROMANCES,2011,PERÚ,2.0
EDITORIAL COMERCIAL,FRANCÉS,ARLEQUIN EDITORIAL Y SERVICIOS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2015,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARLEQUIN EDITORIAL Y SERVICIOS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2018,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARLEQUIN EDITORIAL Y SERVICIOS,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2015,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,800 - LITERATURA Y RETÓRICA: GENERAL,2010,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2011,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2013,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2014,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2015,MÉXICO,5.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2018,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2019,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,840 - LITERATURA DE LAS LENGUAS ROMANCES,2023,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,ARMENTA MALPICA LUIS,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2010,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARQUETIPO GRUPO EDITORIAL,800 - LITERATURA Y RETÓRICA: GENERAL,2018,URUGUAY,11.0
EDITORIAL COMERCIAL,FRANCÉS,ARTE Y ESCENA EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2018,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARTE Y ESCENA EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2023,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ARTMED EDITORA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ASCENCIO GOMEZ ESTEBAN,800 - LITERATURA Y RETÓRICA: GENERAL,2010,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ASCENCIO GOMEZ ESTEBAN,840 - LITERATURA DE LAS LENGUAS ROMANCES,2012,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,ASSOCIACAO EDITORIAL HUMANITAS,890 - LITERATURAS DE OTRAS LENGUAS,2017,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ASSOCIACAO SINODAL DE EDITORACAO,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,ATELIE EDITORIAL LTDA-ME,840 - LITERATURA DE LAS LENGUAS ROMANCES,2013,BRASIL,10.0
EDITORIAL COMERCIAL,FRANCÉS,AUIEO EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,2012,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AUIEO EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2011,MÉXICO,1.0
EDITORIAL COMERCIAL,FRANCÉS,AUIEO EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2012,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,AUIEO EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2013,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,AUIEO EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,2015,MÉXICO,2.0
EDITORIAL COMERCIAL,FRANCÉS,AUTENTICA EDITORA,840 - LITERATURA DE LAS LENGUAS ROMANCES,2021,BRASIL,1.0
EDITORIAL COMERCIAL,FRANCÉS,AUTENTICA EDITORA,840 - LITERATURA DE LAS LENGUAS ROMANCES,2024,BRASIL,5.0
EDITORIAL COMERCIAL,FRANCÉS,AUTENTICA EDITORA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2014,BRASIL,6.0
EDITORIAL COMERCIAL,FRANCÉS,BABEL EDITORIAL,800 - LITERATURA Y RETÓRICA: GENERAL,2016,ARGENTINA,1.0
EDITORIAL COMERCIAL,FRANCÉS,BABEL LIBROS S.A.S.,800 - LITERATURA Y RETÓRICA: GENERAL,2010,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,BABEL LIBROS S.A.S.,800 - LITERATURA Y RETÓRICA: GENERAL,2013,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,BABEL LIBROS S.A.S.,800 - LITERATURA Y RETÓRICA: GENERAL,2014,COLOMBIA,2.0
EDITORIAL COMERCIAL,FRANCÉS,BABEL LIBROS S.A.S.,800 - LITERATURA Y RETÓRICA: GENERAL,2022,COLOMBIA,1.0
EDITORIAL COMERCIAL,FRANCÉS,BABEL LIBROS S.A.S.,800 - LITERATURA Y RETÓRICA: GENERAL,2024,COLOMBIA,1.0
