GRUPO_EDITORIAL_COMPLETO,TIPO_AGENTE,PAIS,ANO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
A2 COMUNICACAO E SERVICOS EDITORIAIS LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,6.0
A2 COMUNICACAO E SERVICOS EDITORIAIS LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2015,870 - LITERATURAS LATINAS E ITALIANAS,1.0
A2 COMUNICACAO E SERVICOS EDITORIAIS LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
A2 COMUNICACAO E SERVICOS EDITORIAIS LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2018,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
A2 COMUNICACAO E SERVICOS EDITORIAIS LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2019,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
"A5 EDITORA, GRAFICA E AGENCIA EDITORIAL LTDA-ME",EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
AAATCHIM! EDITORIAL LTDA,EDITORIAL COMERCIAL,BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,15.0
AAATCHIM! EDITORIAL LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
AAATCHIM! EDITORIAL LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,19.0
AAATCHIM! EDITORIAL LTDA,EDITORIAL COMERCIAL,BRASIL,2017,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,11.0
ABACATTE EDITORIAL,EDITORIAL COMERCIAL,BRASIL,2021,890 - LITERATURAS DE OTRAS LENGUAS,1.0
ABACATTE EDITORIAL,EDITORIAL COMERCIAL,BRASIL,2022,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
ABACATTE EDITORIAL LTDA - EPP,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,1.0
ABACATTE EDITORIAL LTDA - EPP,EDITORIAL COMERCIAL,BRASIL,2014,800 - LITERATURA Y RETÓRICA: GENERAL,18.0
ABACATTE EDITORIAL LTDA - EPP,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
ABACATTE EDITORIAL LTDA - EPP,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,8.0
ABACATTE EDITORIAL LTDA - EPP,EDITORIAL COMERCIAL,BRASIL,2018,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
ABECEDARIA EDITORAS Y ESTUDIOS CULTURALES S.A.,EDITORIAL COMERCIAL,COSTA RICA,2024,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
"ABRACE UM ALUNO ESCRITOR - ASSOCIACAO BRASILEIRA DE COMUNICACAO, CULTURA, EDUCACAO E MULTIMIDIA",EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
"ABRACE UM ALUNO ESCRITOR - ASSOCIACAO BRASILEIRA DE COMUNICACAO, CULTURA, EDUCACAO E MULTIMIDIA",EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
ABRIL EDUCACAO S. A.,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,2.0
ABRIL EDUCACAO S. A.,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,7.0
ABRIL EDUCACAO S. A.,EDITORIAL COMERCIAL,BRASIL,2013,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
