GRUPO_EDITORIAL_COMPLETO,TIPO_AGENTE,PAIS,ANO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
EDITORA DA UNIVERSIDADE DE SANTA CRUZ DO SUL,EDITORIAL UNIVERSITARIA,BRASIL,2016,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
EDITORA DA UNIVERSIDADE DE SANTA CRUZ DO SUL,EDITORIAL UNIVERSITARIA,BRASIL,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA DA UNIVERSIDADE DE SANTA CRUZ DO SUL,EDITORIAL UNIVERSITARIA,BRASIL,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,3.0
EDITORA DA UNIVERSIDADE DE SANTA CRUZ DO SUL,EDITORIAL UNIVERSITARIA,BRASIL,2018,820 - LITERATURA INGLESA E INGLESA ANTIGUA,4.0
EDITORA DA UNIVERSIDADE FEDERAL DO PIAUI,EDITORIAL UNIVERSITARIA,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA DA UNIVERSIDADE FEDERAL DO PIAUI,EDITORIAL UNIVERSITARIA,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA DA UNIVERSIDADE FEDERAL DO PIAUI,EDITORIAL UNIVERSITARIA,BRASIL,2016,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
EDITORA DA UNIVERSIDADE FEDERAL DO PIAUI,EDITORIAL UNIVERSITARIA,BRASIL,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DA UNIVERSIDADE PRESBITERIANA MACKENZIE,EDITORIAL UNIVERSITARIA,BRASIL,2022,080 - COLECCIONES GENERALES,5.0
EDITORA DAIKOKU LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA DAIKOKU LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA DANUBIO,EDITORIAL COMERCIAL,BRASIL,2022,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DE CULTURA ESPIRITUAL,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
EDITORA DE CULTURA LTDA,EDITORIAL COMERCIAL,BRASIL,2018,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA DE CULTURA LTDA,EDITORIAL COMERCIAL,BRASIL,2019,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
EDITORA DE CULTURA LTDA,EDITORIAL COMERCIAL,BRASIL,2019,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA DE CULTURA LTDA - EPP,EDITORIAL COMERCIAL,BRASIL,2015,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DE CULTURA LTDA - EPP,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA DE CULTURA LTDA - EPP,EDITORIAL COMERCIAL,BRASIL,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DE LIVROS COBOGO LTDA,EDITORIAL COMERCIAL,BRASIL,2013,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA DE LIVROS COBOGO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA DE LIVROS COBOGO LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,12.0
EDITORA DE LIVROS COBOGO LTDA,EDITORIAL COMERCIAL,BRASIL,2016,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA DE LIVROS COBOGO LTDA,EDITORIAL COMERCIAL,BRASIL,2016,890 - LITERATURAS DE OTRAS LENGUAS,2.0
EDITORA DE LIVROS COBOGO LTDA,EDITORIAL COMERCIAL,BRASIL,2017,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA DE LIVROS COBOGO LTDA,EDITORIAL COMERCIAL,BRASIL,2019,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA DE LIVROS COBOGO LTDA,EDITORIAL COMERCIAL,BRASIL,2019,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA DE LIVROS SOL LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2014,080 - COLECCIONES GENERALES,2.0
EDITORA DE LIVROS TRAVESSA DOS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
EDITORA DE LIVROS TRAVESSA DOS EDITORES LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA DECOR LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,2.0
EDITORA DEDO DE PROSA LTDA.,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,5.0
EDITORA DEGUSTAR LTDA,EDITORIAL COMERCIAL,BRASIL,2015,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
EDITORA DEGUSTAR LTDA ME,EDITORIAL COMERCIAL,BRASIL,2020,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
EDITORA DEGUSTAR LTDA ME,EDITORIAL COMERCIAL,BRASIL,2024,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
EDITORA DEUSES LTDA-ME,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,35.0
EDITORA DEUSES LTDA-ME,EDITORIAL COMERCIAL,BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA DEUSES LTDA-ME,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,17.0
EDITORA DIARIO MACABRO,EDITORIAL COMERCIAL,BRASIL,2021,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DIARIO MACABRO,EDITORIAL COMERCIAL,BRASIL,2022,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DIARIO MACABRO,EDITORIAL COMERCIAL,BRASIL,2022,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
EDITORA DIARIO MACABRO,EDITORIAL COMERCIAL,BRASIL,2024,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA DIDATICA SUPLEGRAF LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA DIMENSAO LTDA,EDITORIAL COMERCIAL,BRASIL,2010,SIN DATO,3.0
EDITORA DIMENSAO LTDA,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,4.0
EDITORA DIMENSAO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,6.0
EDITORA DIMENSAO LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
EDITORA DIMENSAO LTDA,EDITORIAL COMERCIAL,BRASIL,2018,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
EDITORA DIMENSAO LTDA,EDITORIAL COMERCIAL,BRASIL,2018,870 - LITERATURAS LATINAS E ITALIANAS,1.0
EDITORA DIMENSAO LTDA,EDITORIAL COMERCIAL,BRASIL,2018,890 - LITERATURAS DE OTRAS LENGUAS,2.0
EDITORA DMR LTDA,EDITORIAL COMERCIAL,BRASIL,2019,800 - LITERATURA Y RETÓRICA: GENERAL,6.0
EDITORA DO BRASIL,EDITORIAL COMERCIAL,BRASIL,2010,SIN DATO,2.0
EDITORA DO BRASIL,EDITORIAL COMERCIAL,BRASIL,2014,800 - LITERATURA Y RETÓRICA: GENERAL,18.0
EDITORA DO BRASIL,EDITORIAL COMERCIAL,BRASIL,2015,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
EDITORA DO BRASIL,EDITORIAL COMERCIAL,BRASIL,2019,800 - LITERATURA Y RETÓRICA: GENERAL,13.0
EDITORA DO LIVRO TECNICO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,5.0
EDITORA DOM QUIXOTE LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
EDITORA DOYEN LTDA,EDITORIAL COMERCIAL,BRASIL,2016,810 - LITERATURA AMERICANA EN INGLÉS,3.0
EDITORA DOYEN LTDA,EDITORIAL COMERCIAL,BRASIL,2018,810 - LITERATURA AMERICANA EN INGLÉS,2.0
EDITORA DOYEN LTDA,EDITORIAL COMERCIAL,BRASIL,2018,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
EDITORA DOYEN LTDA,EDITORIAL COMERCIAL,BRASIL,2019,800 - LITERATURA Y RETÓRICA: GENERAL,4.0
EDITORA DOYEN LTDA ME,EDITORIAL COMERCIAL,BRASIL,2014,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA DOYEN LTDA ME,EDITORIAL COMERCIAL,BRASIL,2014,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DSOP,EDITORIAL COMERCIAL,BRASIL,2020,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2014,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,6.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2015,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2016,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2016,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2016,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2017,890 - LITERATURAS DE OTRAS LENGUAS,2.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2018,890 - LITERATURAS DE OTRAS LENGUAS,6.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2019,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
EDITORA DUBLINENSE LTDA,EDITORIAL COMERCIAL,BRASIL,2019,890 - LITERATURAS DE OTRAS LENGUAS,3.0
EDITORA DUBOLSINHO LTDA,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,6.0
EDITORA DUBOLSINHO LTDA,EDITORIAL COMERCIAL,BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,24.0
EDITORA DUBOLSINHO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,7.0
EDITORA DUBOLSINHO LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,6.0
EDITORA DUBOLSINHO LTDA,EDITORIAL COMERCIAL,BRASIL,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
EDITORA DUBOLSINHO LTDA,EDITORIAL COMERCIAL,BRASIL,2017,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,7.0
EDITORA DUBOLSINHO LTDA,EDITORIAL COMERCIAL,BRASIL,2018,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,12.0
EDITORA E DISTRIBUIDORA CULTURAL BRASIL LTDA,EDITORIAL COMERCIAL,BRASIL,2014,800 - LITERATURA Y RETÓRICA: GENERAL,22.0
EDITORA E DISTRIBUIDORA CULTURAL BRASIL LTDA,EDITORIAL COMERCIAL,BRASIL,2015,800 - LITERATURA Y RETÓRICA: GENERAL,19.0
EDITORA E DISTRIBUIDORA CULTURAL BRASIL LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,15.0
EDITORA E DISTRIBUIDORA PROCLAMACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
EDITORA E DISTRIBUIDORA PROCLAMACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA E DISTRIBUIDORA PROCLAMACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
EDITORA E DISTRIBUIDORA PROCLAMACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2017,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA E GRAFICA DIGITAL COSTA E BARROS LTDA,EDITORIAL COMERCIAL,BRASIL,2019,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA E GRAFICA SAO JOAO LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA E GRAFICA UNIVERSITARIA - UFPEL,EDITORIAL UNIVERSITARIA,BRASIL,2011,SIN DATO,1.0
EDITORA E IMPRESORA MADRID LIMITADA,EDITORIAL COMERCIAL,CHILE,2017,890 - LITERATURAS DE OTRAS LENGUAS,2.0
EDITORA E LIVRARIA ADHONEP,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
EDITORA E LIVRARIA BIANCOVILLI & M. COSTA LTDA,EDITORIAL COMERCIAL,BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
EDITORA E LIVRARIA BIANCOVILLI & M. COSTA LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
EDITORA E LIVRARIA CONTOS E ENCANTOS,EDITORIAL COMERCIAL,BRASIL,2024,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA E LIVRARIA CORREA LTDA. ME,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA E LIVRARIA DO CHAIN LTDA,EDITORIAL COMERCIAL,BRASIL,2018,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA E LIVRARIA ESPACO IDEA LTDA-ME,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA E LIVRARIA GALPAO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,3.0
EDITORA E LIVRARIA GALPAO LTDA,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,6.0
EDITORA E LIVRARIA LETRA SELVAGEM,EDITORIAL COMERCIAL,BRASIL,2022,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA ECOARTE LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA EDEBE BRASIL LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,12.0
EDITORA EDEBE BRASIL LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
EDITORA EDEBE BRASIL LTDA,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA EDEBE BRASIL LTDA,EDITORIAL COMERCIAL,BRASIL,2016,890 - LITERATURAS DE OTRAS LENGUAS,12.0
EDITORA EDGARD BLUCHER,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,3.0
EDITORA EDGARD BLUCHER,EDITORIAL COMERCIAL,BRASIL,2017,810 - LITERATURA AMERICANA EN INGLÉS,2.0
EDITORA EDGARD BLUCHER,EDITORIAL COMERCIAL,BRASIL,2024,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
EDITORA ELEFANTE,EDITORIAL COMERCIAL,BRASIL,2021,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA ELEFANTE EIRELI ME,EDITORIAL COMERCIAL,BRASIL,2019,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
EDITORA EM PROSA & VERSO EIRELI - ME,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA EMPIREO,EDITORIAL COMERCIAL,BRASIL,2020,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA EPICA LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA ESCALA LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,2.0
EDITORA ESCANDALO LTDA-ME,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,6.0
EDITORA ESCURECEU,EDITORIAL COMERCIAL,BRASIL,2020,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA ESCURECEU,EDITORIAL COMERCIAL,BRASIL,2021,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA ESFERA LTDA,EDITORIAL COMERCIAL,BRASIL,2010,SIN DATO,1.0
EDITORA ESFERA LTDA,EDITORIAL COMERCIAL,BRASIL,2012,SIN DATO,2.0
EDITORA ESFERA LTDA,EDITORIAL COMERCIAL,BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,5.0
EDITORA ESFERA LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,5.0
EDITORA ESPIRAL,EDITORIAL COMERCIAL,BRASIL,2020,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
EDITORA ESPIRAL,EDITORIAL COMERCIAL,BRASIL,2023,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",22.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2020,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,6.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2020,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",2.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2020,890 - LITERATURAS DE OTRAS LENGUAS,3.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2021,800 - LITERATURA Y RETÓRICA: GENERAL,10.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2021,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,4.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2021,840 - LITERATURA DE LAS LENGUAS ROMANCES,3.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2021,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2021,890 - LITERATURAS DE OTRAS LENGUAS,10.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2022,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2022,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2022,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,3.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2022,890 - LITERATURAS DE OTRAS LENGUAS,3.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2023,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2023,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2023,890 - LITERATURAS DE OTRAS LENGUAS,3.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2024,840 - LITERATURA DE LAS LENGUAS ROMANCES,3.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2024,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2024,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA ESTACAO LIBERDADE,EDITORIAL COMERCIAL,BRASIL,2024,890 - LITERATURAS DE OTRAS LENGUAS,7.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2013,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,3.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2014,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2014,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,8.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2015,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2015,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,3.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,2.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2016,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2016,890 - LITERATURAS DE OTRAS LENGUAS,4.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2017,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2017,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2018,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2018,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2018,890 - LITERATURAS DE OTRAS LENGUAS,3.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2019,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,4.0
EDITORA ESTACAO LIBERDADE LTDA,EDITORIAL COMERCIAL,BRASIL,2019,890 - LITERATURAS DE OTRAS LENGUAS,3.0
EDITORA ESTRELA CULTURAL LTDA,EDITORIAL COMERCIAL,BRASIL,2018,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
EDITORA ESTRELA CULTURAL LTDA,EDITORIAL COMERCIAL,BRASIL,2018,840 - LITERATURA DE LAS LENGUAS ROMANCES,5.0
EDITORA ESTRELA CULTURAL LTDA,EDITORIAL COMERCIAL,BRASIL,2018,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
EDITORA ESTRELA CULTURAL LTDA,EDITORIAL COMERCIAL,BRASIL,2018,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,1.0
EDITORA ESTRELA CULTURAL LTDA,EDITORIAL COMERCIAL,BRASIL,2018,890 - LITERATURAS DE OTRAS LENGUAS,2.0
EDITORA ESTRELA CULTURAL LTDA,EDITORIAL COMERCIAL,BRASIL,2019,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
EDITORA ESTRELA CULTURAL LTDA,EDITORIAL COMERCIAL,BRASIL,2019,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
EDITORA ESTRELA CULTURAL LTDA,EDITORIAL COMERCIAL,BRASIL,2019,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA ESTRONHO LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
EDITORA ESTRONHO LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,12.0
EDITORA ESTRONHO LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
EDITORA ESTRONHO LTDA - ME,EDITORIAL COMERCIAL,BRASIL,2019,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
EDITORA EUROPA,EDITORIAL COMERCIAL,BRASIL,2021,080 - COLECCIONES GENERALES,2.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,7.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2015,810 - LITERATURA AMERICANA EN INGLÉS,1.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,25.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2016,820 - LITERATURA INGLESA E INGLESA ANTIGUA,5.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2016,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,10.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2016,890 - LITERATURAS DE OTRAS LENGUAS,4.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2018,080 - COLECCIONES GENERALES,2.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2019,080 - COLECCIONES GENERALES,3.0
EDITORA EUROPA LTDA,EDITORIAL COMERCIAL,BRASIL,2019,890 - LITERATURAS DE OTRAS LENGUAS,1.0
EDITORA EVANGELICA ESPERANCA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,5.0
EDITORA EVANGRAF LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
EDITORA EVANGRAF LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
EDITORA EVORA,EDITORIAL COMERCIAL,BRASIL,2021,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
